date,sentiment,responses
2015-12-29,positive,3
2015-12-30,neutral,3
2015-12-31,positive,3
2016-01-01,neutral,3
2016-01-01,positive,3
2016-01-04,neutral,3
2016-01-05,neutral,3
2016-01-05,positive,3
2016-01-06,negative,3
2016-01-06,neutral,3
2016-01-07,negative,3
2016-01-07,neutral,6
2016-01-08,negative,3
2016-01-08,neutral,3
2016-01-08,positive,6
2016-01-09,positive,3
2016-01-11,negative,3
2016-01-11,neutral,6
2016-01-12,neutral,12
2016-01-13,negative,9
2016-01-13,positive,3
2016-01-14,neutral,6
2016-01-14,positive,6
2016-01-15,neutral,3
2016-01-15,positive,6
2016-01-17,negative,3
2016-01-18,negative,3
2016-01-19,negative,3
2016-01-19,neutral,6
2016-01-20,neutral,3
2016-01-21,neutral,9
2016-01-22,neutral,6
2016-01-25,negative,3
2016-01-25,neutral,9
2016-01-26,negative,6
2016-01-26,neutral,7
2016-01-27,neutral,16
2016-01-27,positive,4
2016-01-28,neutral,16
2016-01-29,negative,4
2016-01-29,neutral,20
2016-01-30,neutral,4
2016-01-31,negative,4
2016-02-01,neutral,10
2016-02-02,negative,6
2016-02-02,neutral,18
2016-02-03,negative,6
2016-02-03,neutral,18
2016-02-04,neutral,13
2016-02-05,negative,7
2016-02-05,neutral,28
2016-02-06,neutral,7
2016-02-08,negative,7
2016-02-08,neutral,7
2016-02-08,positive,7
2016-02-09,negative,9
2016-02-09,neutral,21
2016-02-09,positive,48
2016-02-10,neutral,8
2016-02-11,negative,5
2016-02-11,neutral,7
2016-02-11,positive,7
2016-02-12,neutral,10
2016-02-14,neutral,5
2016-02-14,positive,5
2016-02-16,neutral,15
2016-02-17,negative,10
2016-02-17,neutral,5
2016-02-17,positive,15
2016-02-18,negative,3
2016-02-18,neutral,16
2016-02-19,negative,3
2016-02-19,neutral,9
2016-02-19,positive,3
2016-02-22,negative,6
2016-02-22,positive,3
2016-02-23,negative,6
2016-02-23,neutral,6
2016-02-24,neutral,15
2016-02-25,negative,3
2016-02-25,neutral,9
2016-02-26,neutral,9
2016-02-27,negative,3
2016-02-29,negative,3
2016-03-01,neutral,12
2016-03-02,negative,3
2016-03-03,negative,3
2016-03-03,neutral,9
2016-03-04,neutral,15
2016-03-04,positive,3
2016-03-05,neutral,3
2016-03-07,negative,3
2016-03-07,neutral,6
2016-03-08,neutral,9
2016-03-08,positive,3
2016-03-09,neutral,20
2016-03-09,positive,6
2016-03-10,negative,7
2016-03-10,neutral,42
2016-03-10,positive,21
2016-03-11,negative,7
2016-03-11,neutral,14
2016-03-11,positive,7
2016-03-13,neutral,7
2016-03-14,negative,7
2016-03-14,neutral,11
2016-03-14,positive,2
2016-03-15,negative,4
2016-03-15,neutral,6
2016-03-16,negative,2
2016-03-16,neutral,6
2016-03-17,negative,3
2016-03-17,neutral,8
2016-03-17,positive,3
2016-03-18,neutral,15
2016-03-18,positive,3
2016-03-19,neutral,3
2016-03-19,positive,3
2016-03-21,negative,6
2016-03-21,neutral,9
2016-03-22,negative,12
2016-03-22,neutral,7
2016-03-23,neutral,12
2016-03-24,neutral,24
2016-03-25,negative,8
2016-03-25,neutral,12
2016-03-26,negative,4
2016-03-26,neutral,4
2016-03-27,positive,6
2016-03-28,negative,12
2016-03-28,neutral,6
2016-03-29,negative,12
2016-03-29,neutral,12
2016-03-29,positive,6
2016-03-30,negative,12
2016-03-30,neutral,12
2016-03-31,neutral,18
2016-03-31,positive,12
2016-04-01,negative,6
2016-04-01,neutral,8
2016-04-02,neutral,2
2016-04-04,negative,2
2016-04-04,neutral,2
2016-04-04,positive,2
2016-04-05,neutral,14
2016-04-06,negative,7
2016-04-06,neutral,13
2016-04-06,positive,5
2016-04-07,negative,15
2016-04-07,neutral,25
2016-04-08,neutral,30
2016-04-08,positive,10
2016-04-09,neutral,3
2016-04-09,positive,5
2016-04-10,neutral,3
2016-04-11,neutral,9
2016-04-11,positive,3
2016-04-12,negative,6
2016-04-12,neutral,3
2016-04-12,positive,9
2016-04-13,negative,3
2016-04-13,neutral,15
2016-04-13,positive,3
2016-04-14,negative,8
2016-04-14,neutral,11
2016-04-14,positive,8
2016-04-15,negative,12
2016-04-15,neutral,16
2016-04-16,negative,4
2016-04-16,neutral,8
2016-04-17,neutral,8
2016-04-18,negative,4
2016-04-18,neutral,8
2016-04-18,positive,8
2016-04-19,neutral,36
2016-04-20,neutral,24
2016-04-20,positive,4
2016-04-21,negative,12
2016-04-21,neutral,4
2016-04-22,neutral,15
2016-04-23,neutral,6
2016-04-25,neutral,12
2016-04-26,negative,3
2016-04-26,neutral,16
2016-04-27,negative,4
2016-04-27,neutral,10
2016-04-27,positive,2
2016-04-28,negative,2
2016-04-28,neutral,10
2016-04-29,negative,2
2016-04-29,neutral,22
2016-04-29,positive,8
2016-04-30,neutral,16
2016-04-30,positive,8
2016-05-01,neutral,8
2016-05-02,neutral,24
2016-05-02,positive,8
2016-05-03,negative,24
2016-05-03,neutral,8
2016-05-03,positive,16
2016-05-04,negative,6
2016-05-04,neutral,10
2016-05-04,positive,16
2016-05-05,neutral,20
2016-05-05,positive,27
2016-05-06,negative,10
2016-05-06,neutral,15
2016-05-06,positive,10
2016-05-07,neutral,5
2016-05-07,positive,5
2016-05-08,neutral,5
2016-05-08,positive,5
2016-05-09,neutral,20
2016-05-10,negative,8
2016-05-10,neutral,14
2016-05-10,positive,3
2016-05-11,negative,9
2016-05-11,neutral,12
2016-05-11,positive,3
2016-05-12,negative,6
2016-05-12,neutral,17
2016-05-12,positive,3
2016-05-13,negative,8
2016-05-13,neutral,16
2016-05-13,positive,8
2016-05-14,negative,8
2016-05-14,neutral,8
2016-05-15,neutral,4
2016-05-16,negative,4
2016-05-16,neutral,16
2016-05-17,negative,2
2016-05-17,neutral,12
2016-05-18,negative,2
2016-05-18,neutral,6
2016-05-18,positive,4
2016-05-19,negative,8
2016-05-19,neutral,9
2016-05-19,positive,5
2016-05-20,neutral,25
2016-05-20,positive,5
2016-05-21,neutral,10
2016-05-22,positive,5
2016-05-23,neutral,15
2016-05-24,negative,10
2016-05-24,neutral,23
2016-05-25,negative,9
2016-05-25,neutral,6
2016-05-25,positive,3
2016-05-26,negative,3
2016-05-26,neutral,21
2016-05-27,negative,11
2016-05-27,neutral,16
2016-05-27,positive,5
2016-05-28,neutral,10
2016-05-31,negative,5
2016-05-31,neutral,15
2016-06-01,neutral,35
2016-06-02,negative,20
2016-06-02,neutral,10
2016-06-02,positive,5
2016-06-03,neutral,30
2016-06-03,positive,5
2016-06-04,neutral,5
2016-06-04,positive,5
2016-06-05,neutral,5
2016-06-06,negative,5
2016-06-06,neutral,10
2016-06-06,positive,10
2016-06-07,negative,11
2016-06-07,neutral,15
2016-06-07,positive,3
2016-06-08,negative,3
2016-06-08,neutral,18
2016-06-09,negative,6
2016-06-09,neutral,8
2016-06-09,positive,3
2016-06-10,negative,6
2016-06-10,neutral,6
2016-06-11,negative,2
2016-06-11,neutral,2
2016-06-12,neutral,2
2016-06-13,neutral,4
2016-06-14,negative,6
2016-06-14,neutral,4
2016-06-15,negative,28
2016-06-15,neutral,11
2016-06-15,positive,14
2016-06-16,negative,35
2016-06-16,neutral,7
2016-06-16,positive,7
2016-06-17,negative,7
2016-06-17,neutral,37
2016-06-18,positive,2
2016-06-19,positive,2
2016-06-20,neutral,6
2016-06-21,negative,2
2016-06-21,neutral,4
2016-06-21,positive,2
2016-06-22,negative,4
2016-06-22,neutral,8
2016-06-23,negative,2
2016-06-23,neutral,13
2016-06-23,positive,3
2016-06-24,negative,6
2016-06-24,neutral,6
2016-06-24,positive,6
2016-06-25,negative,3
2016-06-25,neutral,3
2016-06-27,negative,3
2016-06-27,neutral,9
2016-06-28,negative,9
2016-06-28,neutral,12
2016-06-29,negative,3
2016-06-29,neutral,6
2016-06-30,negative,6
2016-06-30,neutral,9
2016-06-30,positive,3
2016-07-01,negative,3
2016-07-01,neutral,21
2016-07-02,negative,6
2016-07-02,neutral,12
2016-07-03,positive,6
2016-07-05,neutral,18
2016-07-05,positive,6
2016-07-06,negative,12
2016-07-06,neutral,24
2016-07-06,positive,18
2016-07-07,negative,9
2016-07-07,neutral,21
2016-07-08,negative,3
2016-07-08,neutral,21
2016-07-09,neutral,6
2016-07-10,neutral,3
2016-07-11,negative,6
2016-07-11,neutral,12
2016-07-12,neutral,30
2016-07-13,neutral,36
2016-07-14,neutral,24
2016-07-14,positive,20
2016-07-15,neutral,10
2016-07-16,neutral,4
2016-07-17,positive,2
2016-07-18,negative,2
2016-07-18,neutral,6
2016-07-19,negative,4
2016-07-19,neutral,10
2016-07-20,negative,12
2016-07-20,neutral,16
2016-07-21,negative,4
2016-07-21,neutral,24
2016-07-22,negative,8
2016-07-22,neutral,19
2016-07-23,neutral,6
2016-07-24,neutral,3
2016-07-25,negative,3
2016-07-26,neutral,3
2016-07-27,negative,3
2016-07-27,neutral,3
2016-07-28,neutral,3
2016-07-29,negative,3
2016-08-01,neutral,6
2016-08-01,positive,6
2016-08-02,negative,12
2016-08-02,neutral,10
2016-08-03,neutral,24
2016-08-04,negative,4
2016-08-04,neutral,28
2016-08-05,negative,12
2016-08-05,neutral,11
2016-08-05,positive,6
2016-08-06,neutral,6
2016-08-07,neutral,3
2016-08-08,neutral,6
2016-08-08,positive,6
2016-08-09,negative,6
2016-08-09,neutral,15
2016-08-10,neutral,13
2016-08-10,positive,17
2016-08-11,negative,7
2016-08-11,neutral,42
2016-08-12,negative,7
2016-08-12,neutral,28
2016-08-12,positive,7
2016-08-13,neutral,7
2016-08-13,positive,7
2016-08-14,negative,2
2016-08-15,neutral,4
2016-08-16,negative,2
2016-08-16,neutral,4
2016-08-16,positive,2
2016-08-17,negative,2
2016-08-17,neutral,8
2016-08-18,neutral,12
2016-08-18,positive,2
2016-08-19,negative,6
2016-08-19,neutral,12
2016-08-20,negative,3
2016-08-20,neutral,3
2016-08-21,neutral,3
2016-08-22,neutral,6
2016-08-23,negative,6
2016-08-23,neutral,12
2016-08-24,negative,8
2016-08-24,neutral,18
2016-08-25,neutral,15
2016-08-26,neutral,25
2016-08-27,neutral,5
2016-08-28,neutral,5
2016-08-29,negative,10
2016-08-29,neutral,10
2016-08-30,negative,8
2016-08-30,neutral,21
2016-08-31,negative,12
2016-08-31,neutral,12
2016-08-31,positive,4
2016-09-01,negative,10
2016-09-01,neutral,12
2016-09-01,positive,4
2016-09-02,negative,4
2016-09-02,neutral,10
2016-09-03,neutral,2
2016-09-04,neutral,2
2016-09-05,neutral,2
2016-09-06,negative,2
2016-09-06,neutral,6
2016-09-07,neutral,24
2016-09-08,negative,18
2016-09-08,neutral,18
2016-09-09,negative,24
2016-09-09,neutral,18
2016-09-10,neutral,12
2016-09-11,neutral,6
2016-09-12,negative,2
2016-09-12,neutral,2
2016-09-12,positive,2
2016-09-13,negative,2
2016-09-13,neutral,8
2016-09-14,neutral,14
2016-09-15,negative,10
2016-09-15,neutral,6
2016-09-16,negative,12
2016-09-16,neutral,24
2016-09-16,positive,6
2016-09-17,neutral,6
2016-09-17,positive,6
2016-09-18,neutral,6
2016-09-19,neutral,12
2016-09-19,positive,12
2016-09-20,negative,6
2016-09-20,neutral,27
2016-09-20,positive,3
2016-09-21,negative,3
2016-09-21,neutral,12
2016-09-22,negative,6
2016-09-22,neutral,9
2016-09-22,positive,3
2016-09-23,negative,3
2016-09-23,neutral,18
2016-09-23,positive,6
2016-09-26,negative,6
2016-09-26,neutral,3
2016-09-27,negative,6
2016-09-27,neutral,9
2016-09-27,positive,3
2016-09-28,neutral,3
2016-09-28,positive,6
2016-09-29,negative,5
2016-09-29,neutral,5
2016-09-29,positive,3
2016-09-30,negative,2
2016-09-30,neutral,10
2016-09-30,positive,2
2016-10-01,negative,2
2016-10-01,neutral,2
2016-10-02,neutral,2
2016-10-03,negative,4
2016-10-03,neutral,4
2016-10-04,negative,21
2016-10-04,neutral,9
2016-10-05,neutral,42
2016-10-05,positive,7
2016-10-06,negative,11
2016-10-06,neutral,11
2016-10-07,negative,8
2016-10-07,neutral,12
2016-10-08,negative,4
2016-10-08,positive,4
2016-10-09,neutral,4
2016-10-10,negative,12
2016-10-10,neutral,4
2016-10-11,negative,6
2016-10-11,neutral,9
2016-10-12,negative,3
2016-10-12,neutral,15
2016-10-12,positive,6
2016-10-13,neutral,3
2016-10-14,negative,3
2016-10-14,neutral,3
2016-10-15,neutral,3
2016-10-17,neutral,6
2016-10-18,negative,5
2016-10-18,neutral,18
2016-10-19,negative,5
2016-10-19,neutral,30
2016-10-20,negative,17
2016-10-20,neutral,36
2016-10-21,negative,6
2016-10-21,neutral,10
2016-10-22,positive,2
2016-10-24,neutral,18
2016-10-24,positive,6
2016-10-25,negative,18
2016-10-25,neutral,12
2016-10-25,positive,6
2016-10-26,negative,18
2016-10-26,neutral,18
2016-10-26,positive,6
2016-10-27,negative,12
2016-10-27,neutral,8
2016-10-27,positive,2
2016-10-28,negative,4
2016-10-28,neutral,6
2016-10-28,positive,2
2016-10-29,neutral,4
2016-10-30,negative,2
2016-10-31,neutral,4
2016-10-31,positive,2
2016-11-01,negative,4
2016-11-01,neutral,6
2016-11-02,negative,10
2016-11-02,neutral,17
2016-11-03,negative,15
2016-11-03,neutral,15
2016-11-03,positive,5
2016-11-04,negative,15
2016-11-04,neutral,10
2016-11-05,negative,5
2016-11-07,negative,4
2016-11-07,neutral,4
2016-11-08,negative,8
2016-11-08,neutral,12
2016-11-09,neutral,20
