date,sentiment,responses
2017-10-17,neutral,16
2017-10-17,positive,32
2017-10-18,negative,24
2017-10-18,neutral,94
2017-10-18,positive,32
2017-10-19,negative,16
2017-10-19,neutral,62
2017-10-19,positive,22
2017-10-20,negative,3
2017-10-20,neutral,6
2017-10-20,positive,39
2017-10-21,neutral,3
2017-10-22,neutral,3
2017-10-23,neutral,12
2017-10-23,positive,3
2017-10-24,negative,3
2017-10-24,neutral,12
2017-10-25,negative,3
2017-10-25,neutral,12
2017-10-26,negative,3
2017-10-26,neutral,9
2017-10-26,positive,6
2017-10-27,negative,3
2017-10-27,neutral,18
2017-10-27,positive,3
2017-10-28,negative,4
2017-10-28,positive,2
2017-10-29,neutral,4
2017-10-30,negative,4
2017-10-30,neutral,2
2017-10-30,positive,8
2017-10-31,neutral,35
2017-10-31,positive,14
2017-11-01,negative,7
2017-11-01,neutral,21
2017-11-01,positive,7
2017-11-02,neutral,8
2017-11-02,positive,18
2017-11-03,negative,8
2017-11-03,neutral,8
2017-11-03,positive,4
2017-11-04,neutral,12
2017-11-06,neutral,14
2017-11-06,positive,18
2017-11-07,negative,6
2017-11-07,neutral,3
2017-11-07,positive,3
2017-11-08,negative,6
2017-11-08,neutral,3
2017-11-08,positive,6
2017-11-09,negative,9
2017-11-09,neutral,9
2017-11-09,positive,3
2017-11-10,neutral,6
2017-11-10,positive,9
2017-11-11,neutral,6
2017-11-12,neutral,9
2017-11-12,positive,9
2017-11-13,neutral,15
2017-11-13,positive,15
2017-11-14,positive,20
2017-11-15,neutral,21
2017-11-15,positive,9
2017-11-16,neutral,2
2017-11-16,positive,8
2017-11-17,neutral,8
2017-11-17,positive,8
2017-11-18,neutral,6
2017-11-18,positive,6
2017-11-19,neutral,6
2017-11-20,neutral,12
2017-11-20,positive,12
2017-11-21,negative,12
2017-11-21,positive,12
2017-11-22,neutral,18
2017-11-22,positive,10
2017-11-23,neutral,2
2017-11-23,positive,6
2017-11-24,neutral,4
2017-11-25,neutral,2
2017-11-25,positive,4
2017-11-26,neutral,4
2017-11-27,neutral,11
2017-11-27,positive,2
2017-11-28,negative,10
2017-11-28,neutral,15
2017-11-28,positive,5
2017-11-29,negative,5
2017-11-29,neutral,20
2017-11-29,positive,26
2017-11-30,negative,4
2017-11-30,positive,20
2017-12-01,neutral,19
2017-12-01,positive,3
2017-12-02,neutral,3
2017-12-03,neutral,3
2017-12-04,positive,9
2017-12-05,neutral,6
2017-12-05,positive,3
2017-12-06,neutral,3
2017-12-06,positive,15
2017-12-07,neutral,6
2017-12-07,positive,12
2017-12-08,negative,3
2017-12-08,neutral,9
2017-12-08,positive,9
2017-12-09,neutral,7
2017-12-09,positive,10
2017-12-10,neutral,7
2017-12-11,negative,21
2017-12-11,neutral,7
2017-12-11,positive,14
2017-12-12,negative,9
2017-12-12,neutral,44
2017-12-12,positive,18
2017-12-13,negative,2
2017-12-13,neutral,10
2017-12-13,positive,6
2017-12-14,neutral,18
2017-12-14,positive,2
2017-12-15,neutral,6
2017-12-15,positive,3
2017-12-17,neutral,3
2017-12-17,positive,3
2017-12-18,negative,10
2017-12-18,neutral,6
2017-12-18,positive,7
2017-12-19,neutral,12
2017-12-19,positive,4
2017-12-20,negative,16
2017-12-20,neutral,8
2017-12-21,negative,4
2017-12-21,neutral,5
2017-12-21,positive,9
2017-12-22,negative,5
2017-12-22,neutral,5
2017-12-22,positive,15
2017-12-23,positive,10
2017-12-24,negative,5
2017-12-24,neutral,10
2017-12-24,positive,5
2017-12-25,positive,5
2017-12-26,neutral,10
2017-12-27,neutral,5
2017-12-27,positive,4
2017-12-28,neutral,4
2017-12-29,negative,4
2017-12-29,positive,2
2017-12-30,negative,2
2017-12-31,negative,2
2018-01-01,positive,2
2018-01-02,neutral,6
2018-01-02,positive,4
2018-01-03,neutral,12
2018-01-03,positive,18
2018-01-04,neutral,10
2018-01-04,positive,6
2018-01-05,neutral,8
2018-01-05,positive,2
2018-01-06,neutral,12
2018-01-07,negative,2
2018-01-08,neutral,13
2018-01-08,positive,2
2018-01-09,negative,5
2018-01-09,neutral,5
2018-01-09,positive,25
2018-01-10,neutral,20
2018-01-10,positive,10
2018-01-11,negative,5
2018-01-11,neutral,13
2018-01-11,positive,20
2018-01-12,neutral,16
2018-01-12,positive,4
2018-01-13,negative,4
2018-01-13,neutral,8
2018-01-13,positive,4
2018-01-14,negative,4
2018-01-14,neutral,8
2018-01-15,neutral,4
